,layer,src,dst,interval,flit,counts,datatype,delay,map_src,map_dst,captain,tree,epfl,intermediate,path,count,id,issue_time
73,unet_layer4,[61],[31],36864,33,16,output,,[61],[31],,[],,[],[],1,73,36898.0
74,unet_layer4,[62],[31],36864,33,16,output,,[62],[31],,[],,[],[],1,74,36864.0
80,unet_layer5,[76],[95],9216,17,64,output,9216.0,[76],[95],,[],,"[81, 255, 116]",[],1,80,9256.0
81,unet_layer5,[77],[95],9216,17,64,output,9216.0,[77],[95],,[],,[],[],1,81,9216.0
82,unet_layer5,[78],[95],9216,17,64,output,9216.0,[78],[95],,[],,[78],[],1,82,9216.0
83,unet_layer5,[79],[95],9216,17,64,output,9216.0,[79],[95],,[],,[],[],1,83,9216.0
84,unet_layer5,[92],[95],9216,17,64,output,9216.0,[92],[95],,[],,[167],[],1,84,9216.0
85,unet_layer5,[93],[95],9216,17,64,output,9216.0,[93],[95],,[],,[],[],1,85,9216.0
86,unet_layer5,[94],[95],9216,17,64,output,9216.0,[94],[95],,[],,[],[],1,86,9216.0
88,unet_layer5,[63],[76],18432,8,32,input,,[63],[76],,[],,[],[],1,88,18450.0
89,unet_layer5,[63],[77],18432,8,32,input,,[63],[77],,[],,[],[],1,89,18432.0
90,unet_layer5,[63],[78],18432,8,32,input,,[63],[78],,[],,[],[],1,90,18459.0
91,unet_layer5,[63],[79],18432,8,32,input,,[63],[79],,[],,[],[],1,91,18432.0
92,unet_layer5,[63],[92],18432,8,32,input,,[63],[92],,[],,[],[],1,92,18468.0
93,unet_layer5,[63],[93],18432,8,32,input,,[63],[93],,[],,[],[],1,93,18478.0
94,unet_layer5,[63],[94],18432,8,32,input,,[63],[94],,[],,[],[],1,94,18441.0
96,unet_layer6,[108],[127],1152,5,1024,output,1152.0,[108],[127],,[],,[70],[],1,96,1152.0
97,unet_layer6,[109],[127],1152,5,1024,output,1152.0,[109],[127],,[],,[],[],1,97,1159.0
98,unet_layer6,[110],[127],1152,5,1024,output,1152.0,[110],[127],,[],,[],[],1,98,1152.0
99,unet_layer6,[111],[127],1152,5,1024,output,1152.0,[111],[127],,[],,"[44, 207]",[],1,99,1152.0
100,unet_layer6,[124],[127],1152,5,1024,output,1152.0,[124],[127],,[],,[],[],1,100,1152.0
101,unet_layer6,[125],[127],1152,5,1024,output,1152.0,[125],[127],,[],,[],[],1,101,1158.0
102,unet_layer6,[126],[127],1152,5,1024,output,1152.0,[126],[127],,[],,[],[],1,102,1152.0
104,unet_layer6,[8],[108],1152,7,1024,weight,,[8],[108],,[],,[],[],1,104,1163.0
105,unet_layer6,[8],[109],1152,7,1024,weight,,[8],[109],,[],,[],[],1,105,1152.0
106,unet_layer6,[8],[110],1152,7,1024,weight,,[8],[110],,[],,[],[],1,106,1152.0
107,unet_layer6,[8],[111],1152,7,1024,weight,,[8],[111],,[],,[],[],1,107,1152.0
108,unet_layer6,[8],[124],1152,7,1024,weight,,[8],[124],,[],,[],[],1,108,1152.0
109,unet_layer6,[8],[125],1152,7,1024,weight,,[8],[125],,[],,[],[],1,109,1152.0
110,unet_layer6,[8],[126],1152,7,1024,weight,,[8],[126],,[],,[],[],1,110,1152.0
112,unet_layer6,[95],[108],1152,5,1024,input,,[95],[108],,[],,[],[],1,112,1152.0
113,unet_layer6,[95],[109],1152,5,1024,input,,[95],[109],,[],,[],[],1,113,1152.0
114,unet_layer6,[95],[110],1152,5,1024,input,,[95],[110],,[],,[],[],1,114,1152.0
115,unet_layer6,[95],[111],1152,5,1024,input,,[95],[111],,[],,[],[],1,115,1152.0
116,unet_layer6,[95],[124],1152,5,1024,input,,[95],[124],,[],,[],[],1,116,1160.0
117,unet_layer6,[95],[125],1152,5,1024,input,,[95],[125],,[],,"[49, 224]",[],1,117,1152.0
118,unet_layer6,[95],[126],1152,5,1024,input,,[95],[126],,[],,[],[],1,118,1152.0
124,unet_layer7,[74],[123],1152,5,128,output,1152.0,[74],[123],,[],,[],[],1,124,1152.0
125,unet_layer7,[75],[123],1152,5,128,output,1152.0,[75],[123],,[],,"[146, 184]",[],1,125,1152.0
126,unet_layer7,[90],[123],1152,5,128,output,1152.0,[90],[123],,[],,[21],[],1,126,1152.0
127,unet_layer7,[91],[123],1152,5,128,output,1152.0,[91],[123],,[],,[],[],1,127,1152.0
128,unet_layer7,[106],[123],1152,5,128,output,1152.0,[106],[123],,[],,[],[],1,128,1159.0
129,unet_layer7,[107],[123],1152,5,128,output,1152.0,[107],[123],,[],,[],[],1,129,1152.0
130,unet_layer7,[122],[123],1152,5,128,output,1152.0,[122],[123],,[],,[79],[],1,130,1152.0
132,unet_layer7,[127],[74],576,5,256,input,,[127],[74],,[],,[],[],1,132,576.0
133,unet_layer7,[127],[75],576,5,256,input,,[127],[75],,[],,[],[],1,133,585.0
134,unet_layer7,[127],[90],576,5,256,input,,[127],[90],,[],,[],[],1,134,576.0
135,unet_layer7,[127],[91],576,5,256,input,,[127],[91],,[],,[],[],1,135,576.0
136,unet_layer7,[127],[106],576,5,256,input,,[127],[106],,[],,[],[],1,136,576.0
137,unet_layer7,[127],[107],576,5,256,input,,[127],[107],,[],,[],[],1,137,576.0
138,unet_layer7,[127],[122],576,5,256,input,,[127],[122],,[],,[],[],1,138,576.0
146,unet_layer8,[72],[121],9216,3,64,output,9216.0,[72],[121],,[],,[],[],1,146,9216.0
147,unet_layer8,[73],[121],9216,3,64,output,9216.0,[73],[121],,[],,[],[],1,147,9216.0
148,unet_layer8,[88],[121],9216,3,64,output,9216.0,[88],[121],,[],,[],[],1,148,9220.0
149,unet_layer8,[89],[121],9216,3,64,output,9216.0,[89],[121],,[],,[],[],1,149,9216.0
150,unet_layer8,[104],[121],9216,3,64,output,9216.0,[104],[121],,[],,[],[],1,150,9216.0
151,unet_layer8,[105],[121],9216,3,64,output,9216.0,[105],[121],,[],,[],[],1,151,9216.0
152,unet_layer8,[120],[121],9216,3,64,output,9216.0,[120],[121],,[],,[],[],1,152,9216.0
154,unet_layer8,[72],[123],9216,3,64,output,,[72],[123],,[],,[5],[],1,154,9280.0
155,unet_layer8,[73],[123],9216,3,64,output,,[73],[123],,[],,[],[],1,155,9223.0
156,unet_layer8,[88],[123],9216,3,64,output,,[88],[123],,[],,[],[],1,156,9216.0
157,unet_layer8,[89],[123],9216,3,64,output,,[89],[123],,[],,[],[],1,157,9231.0
158,unet_layer8,[104],[123],9216,3,64,output,,[104],[123],,[],,[],[],1,158,9216.0
159,unet_layer8,[105],[123],9216,3,64,output,,[105],[123],,[],,[],[],1,159,9216.0
160,unet_layer8,[120],[123],9216,3,64,output,,[120],[123],,[],,[],[],1,160,9216.0
188,unet_layer10,[138],[187],3072,3,128,output,3072.0,[138],[187],,[],,[],[],1,188,3072.0
189,unet_layer10,[139],[187],3072,3,128,output,3072.0,[139],[187],,[],,[],[],1,189,3072.0
190,unet_layer10,[154],[187],3072,3,128,output,3072.0,[154],[187],,[],,[],[],1,190,3079.0
